,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,0,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000001,0.7071067811865476,1.0,1.7320508075688772,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,1,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000002,0.7071067811865476,1.0,2.23606797749979,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,2,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000003,0.7071067811865476,1.0,2.6457513110645907,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,3,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000004,0.7071067811865476,1.0,3.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,4,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000005,0.7071067811865476,1.0,3.3166247903554,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,5,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000006,0.7071067811865476,1.0,3.605551275463989,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,6,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000007,0.7071067811865476,1.0,3.872983346207417,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,7,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000008,0.7071067811865476,1.0,4.123105625617661,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,8,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000009,0.7071067811865476,1.0,4.358898943540674,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,9,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000010,0.7071067811865476,1.0,4.58257569495584,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,10,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000011,0.7071067811865476,1.0,4.795831523312719,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,11,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000012,0.7071067811865476,1.0,5.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,12,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000013,0.7071067811865476,1.0,5.196152422706632,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,13,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000014,0.7071067811865476,1.0,5.385164807134504,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,14,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000015,0.7071067811865476,1.0,5.5677643628300215,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,15,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000016,0.7071067811865476,1.0,5.744562646538029,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,16,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000017,0.7071067811865476,1.0,5.916079783099616,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,17,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000018,0.7071067811865476,1.0,6.082762530298219,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,18,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
